id,x,y
7081fa079776435aaec842d9b7b83ac3, 95.632, -29.883
cbc0b3c1af59404d867a274472fd0857, 123.75, 38.284
0e08d649087c4942bc06215d958eae67, 161.51, 53.817
0cca845e5d9448f8b34b3c42c19817b1, -4.8142, 1.8794
0bd785dfda824184bd927bc92134a7ba, 119.61, 7.6335
16a01c0cc11c434a943aa41d8361e16c, 63.372, -61.344
03af601dcf1544d2ad39941317ccfb21, -16.215, 48.265
6a0df26303b94f0b869737f80b7e8642, 26.008, 63.179
71256151b2c946bdb20af125a7483ed0, -150.12, -27.356
c6a9c3e3a5614a04b734341f06888296, 80.859, -1.9375
aa84a4f0d248478c95d1345cc7afbd30, 122.2, 80.921
f8961e1f9898481ba755aed2b8522bd9, -6.9335, -76.756
baaf2bd1ea544121a31dc02b323b00d8, 24.153, 51.038
3a401703596747f5bf04b0dc68c1f49c, 138.77, 25.33
b8b6903bd988499aa172a078a661d1bb, -90.895, -62.464
7d8a658b7b0642ed8705bec533486561, -136.04, -59.924
3e8792314873428e86ce2bb320ca6b61, 53.13, -64.717
10251db4f51f4c9f93fe848ad846eeb2, 132.45, -38.272
25c84e3652c04ac990a903299062838e, -93.763, -45.173
02edd3ed5d984c4e8d9897f183c5de0f, -24.516, 51.957
863135bc24e44fcc9cf0f74dd3ba3a9a, -174.53, -50.429
615f8a59cb8040d08aaa41af8ac3d2a8, 79.714, -76.922
1548406451ea4504bf84b22b09cac6ac, -121.8, -21.747
dfe0e348a78e4ab6bdcdcfee526eb414, -167.93, 47.094
04e3c8d6c3ab4221a0459eb19cc8df3e, -127.99, 31.553
78da9645029042a99045e5abb249d787, -18.199, 22.796
c179a73914d941659cb10fbd8b18ed5c, -154.88, 41.988
822a709a387f41dab8baa41beb8e4db7, -55.515, 16.319
7586fa0752d54250af5337b4fade2197, -70.557, 8.1463
e1c5490c4ec04e2a8c5e11d20421c2de, 53.066, -55.385
07987f39908e4cd798b3671a06de26db, -144.96, -70.826
a4655911819c4dc8b1edab1b3bc77949, -128.16, -89.128
1a37f75bc09844fa9dd00a6c2acbf328, 58.26, -15.204
2ef7d674a9254618bb0e66ef5f99c649, 60.506, -52.51
3f8092e00d644628beb2e9d3ecb1b22b, 40.835, 57.024
a8f3f42c158947629db8a79cde76ca96, 118.72, -87.832
0e996f952b3a4e0c8eee9b71fddf1777, 97.421, 26.306
7cf93e869d3348aba3eb59c1962ff748, -161.8, -21.829
1106cabb936f4fe795bed5386b4a5831, 101.32, 12.589
c318112d9d75473bb0fdd4aeffaa8639, -24.753, 20.265
174aed626bee4cecb738f469017eb26d, -135.62, 43.833
6a4f4a04589849588ac7d18e97a75218, -131.55, 29.223
0f2d1d973938436dac9c40856e5d3776, -96.357, -31.865
4c6dbbc7beba48b99571b74560a08050, -126.47, -19.92
be72ea41513c41c78c3730ce2c28c440, 83.324, 32.872
b4d371e3101f485cb5b6863ce984e385, -138.95, 5.3145
63345e37864f4566a0f002bcbf17a1af, 104.53, 35.409
76d120a3c9204630a114ae354ff321c5, -39.826, -22.256
83ac1c297fe04206b6c07741b3928a02, -154.76, 26.086
9a675a25449a4a3892e8a7005ddc93c7, 176.79, 59.632
767fbf748bbf46cca12bed108dee35f8, -109.72, -41.944
6f45def7cb5346bf9f9b8e4bc0134d93, -20.169, 5.7105
fe4ee6b46d584d5da4690c2e60604a8c, 116.82, -33.283
0da7f9213b5f444aaab2c96f2ef01e8d, -36.309, 66.437
c04b1656489340bd89b6ef7beb77cec8, 8.7413, -68.416
295d9113b7884ad387b0ab59dfcd6277, 134.22, -40.454
172d833578cf45d18668afca03f23d1e, -164.26, 46.913
e65b87e227bd4a139384f246fae4626d, -2.965, -25.545
d61ec3c9abf142fcb1a4cadda269986c, 122.39, 5.939
8fcd822b6d334a04a0e727c6fef53340, -2.6061, 61.294
31e1e103ab004614a86060f749b6f7a2, 107.01, 40.78
989132595d7047daa634e597eefa0956, 139.31, 57.969
a2dd2fac5e344653bd3ceb0727c03994, 106.7, -68.194
8ccb646647fc47169ad08d5d66e3770c, -143.6, 80.463
c7e890df9c724616acc07311aee7cddf, -81.296, 89.031
52a20abd1d22437cb818118008143773, 90.224, 61.086
abb33ac7776a49a1912e9f93f9a3a7bc, 106.77, -13.941
3a7d338b117142eea0137b716607fd76, -162.92, 79.541
778417a7a7354de19d2cd54786c989a0, -158.98, -67.397
e8733ef8ac894f90a69f9e860e41e876, 92.015, 56.967
d78e44e233e2454daf8d701b9f66163c, -134.63, 51.599
bbf23f039f1048d68ace8b098b3078ef, 66.492, -25.477
e9471b58c5584bb3bc4960f30e1669f0, -178.58, -62.059
d18d69678d214f908ee2825e401a8428, 164.33, 63.605
cb0e653c076d450eb7700fe705345372, -80.956, -69.031
0c7103bb5d45452ba5b77f3832d3dc98, 55.706, 86.584
a388ea834ec6474381a20484dbc4c3a4, -25.109, -13.111
d0c7156eaa7c4eb2a90a352243acb6ed, 137.31, 83.54
96ac615e67924abe996c2d4f34e90487, -119.21, 0.37264
0ebc4859897c418b969bb61d9ea1149f, 118.82, 46.192
c7e8802066794551b968a2fca3afba7f, -79.09, -14.439
1736f9fa31444d4299619340d8821a37, -90.233, 87.491
9143788c5489472ea7dd9748db8725cb, -87.945, 59.178
3ae46e8bc5e24b64b95947df6c70b8c1, -159.11, 57.564
3893ee7e8373474f8907dc600a786a0a, -178.78, 81.476
0ec0e8f110664bd0953399ee7c869abd, -11.884, 58.772
b7e5a5443e5443c69b3d35f7f11dc809, -139.72, 17.767
16893e3da5bb4913928c0372691b9ef3, -69.728, 69.471
b80aaaeea183407092a0811cdbd7a1c5, 56.581, 58.139
f647a54d22ed46f296a49c01b3f616d9, 154.37, -22.976
7b29e864dbe84feea216a8961eee6f05, 129.47, -34.746
7422778d9b794ae0b6d1692c1e2f00bb, -11.871, -37.165
d61f586f095445729f5a47bfb5388779, -60.555, -86.629
9ed5de479a994397ba8fe21ca1cc86f6, 27.123, 83.479
e17be5bcbba8460fbe7211861dacd215, 161.37, -11.08
54371aa3d38c4bffa347fd6da3f3b6ea, 172.12, -45.789
ed641b76e6554efc8d41744d097c2514, -162.27, -6.1443
67c3c01c8c784df7bf3ba98f81f82eac, -112.32, -4.2913
b457b29128994fd3890c4eebbdf45612, 54.684, -51.47
70fbd801f8a84ed5881d9b959192cf2c, -93.725, 80.949
a25a81083f4e462480e5fc377bc1bb31, -74.467, 31.242
53bb870854a5459a8eeead2d4906709d, -27.941, 42.084
664b1adc3a344f75bdea0dd65f51ac7d, -37.735, -13.209
c97ae96315a04558a4b959c31b97aecb, 97.805, -32.015
2900634be1c348c4af5cb92378c49a8a, 107.95, -62.787
626893a1567f46f0b1f711b902f4fc89, 136.6, 50.374
d74887a5c58a458ea730d768715b9aa1, -43.713, 34.9
ba827e2f801e47fca4d9495d0eb3dbb9, 105.65, -7.9296
d0064650915644bd8623f7cb676b4790, 73.314, 3.4006
a6f25904edf94ede93e7f3b7acbce798, 76.837, 30.574
797a3da219284df3a7c15387ac118d98, -110.84, -62.889
7425c031827e4bbe8a90a8f4eb303f2c, 146.93, -46.298
bda7cbcd96974e07ad8766ae6667bd8c, 48.25, 0.55436
ff6366140cdd4f928abc958af16a9260, 135.73, 41.886
400f798abc1341b49e650bf57233516e, 144.19, -51.93
431d6fa0fc87451a80f1fda3ecf61e20, 47.616, -60.423
a1674ce16fdd4097b822832b6b217f7c, 153.43, -37.595
4753bcb83e72431daf5776f99338d154, 52.305, 56.36
b4b17c372efd4250b2802e7be91d5297, 64.919, -62.834
8f1e6545af9f4310a72cfd25f2a847c8, -109.34, 51.88
51718e73bce6410381b9a8fce4bd2b9f, 95.535, 29.951
ae75e5d263d745e5bb86f7f7c96866fa, -81.209, 3.1884
25a06738c2d54b349a6c5a8cae474e06, -147.61, -69.122
0dc45ffb61564ca5885ffc429f73d325, 67.261, -36.392
fdc1ff36717a44bd8bb4f0e5b231cb73, -115.16, 42.059
574bb638fb2b44cc99382cdc4412e82e, 116.21, 89.178
151af5d050e643a5a6278b455ed25db7, -41.141, -51.703
260c3f7b19b04144b827744ee17feb32, -67.988, 56.087
3be720d997c14404b75abbbbcd204447, 133.98, -65.461
25c71bc0210545d082cad152d6cd69a3, 109.09, 40.672
91ea4c4c62b949c4a1d00dc2ce998630, -32.297, -32.798
d118b465526c4290b8e993ed0fb853ae, -110.71, -20.227
b8e4e510b14a43aa8d6e522974c0b7cb, -74.576, 65.044
44bd76279d7144978de4bcd23e4fd2ef, 20.418, 53.71
f4b959530bd8453db32897caac1b462f, 145.44, -0.11659
5cef7e567edb4b9abdb506b6d2dbddf2, -125.54, -70.206
e7ec72f1b19e42cc936a2be904558abf, 107.21, -79.112
1f9559cf081b4bb29763a2cc245e67a3, -150.07, -12.941
d8768d1c5e3f4b6fa61f0fbace01a002, -35.125, 69.297
f0fb54f536a84786bc6885c984ad0883, -43.626, 76.33
66e35bc7bc4a434a956b9db17c292439, -38.58, 88.896
c60ddf976fef45ba88774a058f754589, -57.532, -34.344
40a320c22a134f05a3354e8701d20909, 102.32, -60.707
16ff05c4ece342c0bf785686ec668fe9, 6.6979, 21.783
dc7bcba45c7d474daa4e5f7bce414683, -125.72, 60.212
91fa9e76b3b444d1b3f282ec493349f6, 85.06, -5.9662
eac7feff2aa740d1936df69b42e6befe, -147.06, 24.243
aea7cd79445c481ea7c524ec60b64011, -137.18, 28.604
e8106635a6174152823c6f5395b6d720, 64.471, 84.689
86decd1459ae48ee95ac1db74048980c, -58.367, 22.397
b3fc2c21597f47f08593ff26b91f95e0, 68.845, -13.523
0126fe6477cc4ae48344dafc616301f9, -52.329, -37.602
f0cd79ba35934c07a1a996c02805b338, -118.73, 48.041
66551cf3ec3645cfbc6d53ae30b7658c, -75.186, -61.409
f99f7c75c7e140f182b143b8caf053df, 139.35, -86.699
e0427b0b52614c96b99552ddf1f40dae, -55.486, 63.659
be93093304ad4bb1b8da492f4275b6bb, 50.912, -15.219
dff980989bd442ce98e7c057b60f74a3, -42.583, 8.6818
cfc4d0da0fd14d92b0878a12108d2d5c, 112.44, 42.4
2bda31006eca46bdaf3df3ebfd0a56fc, -112.82, -44.799
72b5578664874264aa1384851aab2b06, 55.319, -4.3029
fc5cd3758e19495485ffcbedfb143fe2, 81.815, 66.402
960297e62c5548fcb11bd2de195a0927, 154.66, -3.3221
41ea2098688b4bc2bca87ab52ecd5aa8, -105.5, 69.541
17eda51f91f34075872d0586dd70aa65, 53.395, -53.661
fe5a271285df412e8ad5989fc0f42313, 67.93, 19.256
b5652eeb92b540bcb3451865cce35a13, -85.989, 83.936
46f1a5bc6b2e42eab775cc4da78b16c4, -107.26, 3.0205
b1b9eb0636e44dba84e95f04f914d008, 125.51, 46.242
8a7a660f77434252b42da886825cf6b8, 44.351, -5.2245
038dd8761ba14584948e342a1c456a3e, -158.23, -82.402
b29dae8fcf704c299147f61bb02b8e91, -38.425, -56.709
c3ef946a679d4a629b7dea85e4e6dc9f, 164.28, 10.086
81f14a9731df4b1eacadac219509c57f, -149.02, 71.965
9726a39009a748e0a09ec8a3e52c5eda, -29.078, 88.035
ad305e297680447cb8a937d8c0370745, -162.77, -33.233
b653f1b12a58431fa66075b58a3eada3, -58.711, 42.628
a8d8dcee7a6045328cb89b17fa0d4b64, 168.55, 47.102
2db180df88764514b62f0b2549e764ef, -89.71, -32.153
609e0da27fef440aabdce5188912fd09, -0.043496, 62.925
6d8e5f2c6c8a4333b1f7903298ba1add, 125.0, 2.5277
5cfa2890abd447b28092879300cd5b7d, 150.3, -62.863
23e773ab895e4f489c95eba1f53be290, -112.63, -3.6326
c32dc69fd3844ca3b66db25d94d9ebc1, -52.813, 40.356
ff3079cbea9445b284de3cf00cc0bda7, -130.34, -7.9832
acba0ae76caa4b299e3381bf08c82608, -35.59, 71.924
28f45c4826e24ec7866850b0bd6a84e2, 104.74, 62.914
75c13ada61df4dfb8d1bf83641319530, 87.042, 82.956
0a5e4cacf13c482f9448c495cf57007e, -11.28, -1.7519
78fcc76b14714d2cb31e191e7f531a94, 83.081, -54.336
ae1c5d827a1c4d549cbd8b558a1ae4b5, 2.9161, 86.691
3abf5f7e30a84ede9e9492fc6e49f03e, -25.351, 71.387
abec0f6f7b7b43f3abcd510609df2512, -61.44, -81.682
562028666b27484a97ca1f93a3549efa, -1.4214, 62.722
85e46e8e2e544ac1b0febc92c2178e80, -157.95, -74.755
79f8e5d5141e43fc84df288ccc069040, -120.55, -67.097
c5c7c54ebb514898aff55ee7cae04d25, -111.3, -37.348
39dee2037b054f9c975b2badb91b4205, 78.893, -17.516
044d3d2e10914c6385e898eb47af8ca3, 155.73, -60.466
245a91dea5cc4dd295a68d055cd03943, 22.348, -65.305
